Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
3M,Chemicals,Chemicals,Public,Minnesota,116,yes,no,no,no,-14,no,yes,no,yes,no,92000,57965,34229,-3,5777,-2,46455,Michael F. Roman,56105,2023,134,no,no,no,no,-18,no,yes,no,yes,yes,no,85000,58695,32681,-4,-6995,-221,50580,William M. Brown,56841,2024
A-Mark Precious Metals,Wholesalers,Wholesalers: Diversified,Public,California,458,yes,no,no,yes,-12,no,yes,no,no,no,381,815,8159,7,133,-17,1443,Gregory N. Roberts,815,2023,421,yes,no,no,yes,37,yes,no,no,no,no,no,421,701,9287,14,156,18,1546,Gregory N. Roberts,701,2024
A.O. Smith,Industrials,"Electronics, Electrical Equip.",Public,Wisconsin,780,yes,no,no,no,-34,no,yes,,no,no,12000,10436,3754,6,236,-52,3332,Kevin J. Wheeler,10436,2023,768,yes,no,no,no,12,yes,no,,no,no,no,12000,13156,3853,3,557,136,3214,Kevin J. Wheeler,13156,2024
Abbott Laboratories,Health Care,Medical Products and Equipment,Public,Illinois,99,yes,no,no,yes,-13,no,yes,no,yes,no,115000,175984,43653,1,6933,-2,74438,Robert B. Ford,186067,2023,108,yes,no,no,no,-9,no,yes,no,yes,yes,no,114000,197221,40109,-8,5723,-18,73214,Robert B. Ford,179113,2024
AbbVie,Health Care,Pharmaceuticals,Public,Illinois,73,yes,no,no,no,-10,no,yes,no,yes,yes,50000,281151,58054,3,11836,2,138805,Richard A. Gonzalez,237879,2023,77,yes,no,no,no,-4,no,yes,no,yes,yes,yes,50000,322435,54318,-6,4863,-59,134711,Robert A. Michael,296719,2024
Abercrombie & Fitch,Retailing,Specialty Retailers: Apparel,Public,Ohio,789,yes,no,yes,no,-64,no,yes,,no,no,18400,1366,3698,0,3,-99,2713,Fran Horowitz,1366,2023,709,yes,no,yes,yes,80,yes,no,,no,no,no,19200,6317,4281,16,328,11552,2974,Fran Horowitz,6317,2024
ABM Industries,Business Services,Diversified Outsourcing Services,Public,New York,475,yes,no,no,yes,35,yes,no,yes,no,no,127000,2971,7807,25,230,82,4869,Scott B. Salmirs,2971,2023,461,yes,no,no,no,14,yes,no,no,no,no,no,123000,2824,8096,4,251,9,4934,Scott B. Salmirs,2824,2024
Academy Sports and Outdoors,Retailing,Specialty Retailers: Other,Public,Texas,544,yes,no,no,no,-63,no,yes,,no,no,16508,5021,6395,-6,628,-6,4595,Steven P. Lawrence,5021,2023,559,yes,no,no,yes,-15,no,yes,,no,no,no,16509,5025,6159,-4,519,-17,4677,Steven P. Lawrence,5025,2024
Acadia Healthcare,Health Care,Health Care: Medical Facilities,Public,Tennessee,962,yes,no,no,yes,-18,no,yes,,no,no,20000,6598,2610,10,273,43,4988,Christopher H. Hunter,6598,2023,904,no,no,no,yes,58,yes,no,,no,no,no,20250,7322,2929,12,-22,-108,5359,Christopher H. Hunter,7322,2024
Activision Blizzard,Media,Entertainment,Public,California,484,yes,no,no,yes,-88,no,yes,no,no,no,13000,67126,7528,-14,1513,-44,27383,Robert A. Kotick,67126,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
